Barris	Nacionalitat	Total	Genere
el Raval	Espanya	11.515	Home
el Barri Gotic	Espanya	4.166	Home
la Barceloneta	Espanya	4.447	Home
Sant Pere Santa Caterina i la Ribera	Espanya	6.167	Home
el Fort Pienc	Espanya	11.426	Home
la Sagrada Familia	Espanya	18.422	Home
la Dreta del Eixample	Espanya	15.499	Home
l Antiga Esquerra del Eixample	Espanya	15.051	Home
la Nova Esquerra del Eixample	Espanya	21.608	Home
Sant Antoni	Espanya	13.769	Home
el Poble Sec- A E I Parc Montjuïc	Espanya	12.817	Home
la Marina del Prat Vermell- A E I Zona Franca	Espanya	554	Home
la Marina de Port	Espanya	12.38	Home
la Font de la Guatlla	Espanya	3.804	Home
Hostafrancs	Espanya	5.733	Home
la Bordeta	Espanya	7.753	Home
Sants- Badal	Espanya	9.204	Home
Sants	Espanya	15.629	Home
les Corts	Espanya	18.802	Home
la Maternitat i Sant Ramon	Espanya	9.707	Home
Pedralbes	Espanya	4.596	Home
Vallvidrerael Tibidabo i les Planes	Espanya	2.004	Home
Sarria	Espanya	9.947	Home
les Tres Torres	Espanya	7.017	Home
Sant Gervasi-la Bonanova	Espanya	10.456	Home
Sant Gervasi- Galvany	Espanya	18.767	Home
el Putxet i el Farro	Espanya	11.588	Home
Vallcarca i els Penitents	Espanya	6.232	Home
el Coll	Espanya	2.94	Home
la Salut	Espanya	5.193	Home
la Vila de Gracia	Espanya	17.772	Home
el Campden Grassot i Gracia Nova	Espanya	13.467	Home
el Baix Guinardo	Espanya	10.074	Home
Can Baro	Espanya	3.608	Home
el Guinardo	Espanya	14.602	Home
la Font d en Fargues	Espanya	4.189	Home
el Carmel	Espanya	12.69	Home
la Teixonera	Espanya	4.743	Home
Sant Genis dels Agudells	Espanya	2.835	Home
Montbau	Espanya	2.01	Home
la Vall d Hebron	Espanya	2.494	Home
la Clota	Espanya	299	Home
Horta	Espanya	11.043	Home
Vilapicina i la Torre Llobeta	Espanya	10.039	Home
Porta	Espanya	9.836	Home
el Turo de la Peira	Espanya	5.573	Home
Can Peguera	Espanya	946	Home
la Guineueta	Espanya	6.458	Home
Canyelles	Espanya	3.082	Home
les Roquetes	Espanya	5.997	Home
Verdun	Espanya	4.576	Home
la Prosperitat	Espanya	10.522	Home
la Trinitat Nova	Espanya	2.751	Home
Torre Baro	Espanya	1.195	Home
Ciutat Meridiana	Espanya	3.565	Home
Vallbona	Espanya	578	Home
la Trinitat Vella	Espanya	3.483	Home
Baro de Viver	Espanya	1.086	Home
el Bon Pastor	Espanya	5.307	Home
Sant Andreu	Espanya	24.991	Home
la Sagrera	Espanya	11.784	Home
el Congres i els Indians	Espanya	5.68	Home
Navas	Espanya	8.689	Home
el Camp del Arpa del Clot	Espanya	14.656	Home
el Clot	Espanya	10.835	Home
el Parcila Llacuna del Poblenou	Espanya	5.705	Home
la Vila Olimpica del Poblenou	Espanya	3.733	Home
el Poblenou	Espanya	13.161	Home
Diagonal Mariel Front Maritim del Poblenou	Espanya	5.327	Home
el Besos i el Maresme	Espanya	8.063	Home
Provençals del Poblenou	Espanya	8.508	Home
Sant Marti de Provençals	Espanya	10.515	Home
la Verneda i la Pau	Espanya	11.808	Home
el Raval	Itàlia	1.139	Home
el Barri Gotic	Itàlia	675	Home
la Barceloneta	Itàlia	625	Home
Sant Pere Santa Caterina i la Ribera	Itàlia	936	Home
el Fort Pienc	Itàlia	619	Home
la Sagrada Familia	Itàlia	786	Home
la Dreta del Eixample	Itàlia	887	Home
l Antiga Esquerra del Eixample	Itàlia	773	Home
la Nova Esquerra del Eixample	Itàlia	901	Home
Sant Antoni	Itàlia	681	Home
el Poble Sec- A E I Parc Montjuïc	Itàlia	846	Home
la Marina del Prat Vermell- A E I Zona Franca	Itàlia	4	Home
la Marina de Port	Itàlia	140	Home
la Font de la Guatlla	Itàlia	153	Home
Hostafrancs	Itàlia	247	Home
la Bordeta	Itàlia	136	Home
Sants- Badal	Itàlia	166	Home
Sants	Itàlia	440	Home
les Corts	Itàlia	341	Home
la Maternitat i Sant Ramon	Itàlia	177	Home
Pedralbes	Itàlia	122	Home
Vallvidrerael Tibidabo i les Planes	Itàlia	60	Home
Sarria	Itàlia	235	Home
les Tres Torres	Itàlia	107	Home
Sant Gervasi-la Bonanova	Itàlia	193	Home
Sant Gervasi- Galvany	Itàlia	478	Home
el Putxet i el Farro	Itàlia	403	Home
Vallcarca i els Penitents	Itàlia	156	Home
el Coll	Itàlia	83	Home
la Salut	Itàlia	161	Home
la Vila de Gracia	Itàlia	946	Home
el Campden Grassot i Gracia Nova	Itàlia	431	Home
el Baix Guinardo	Itàlia	319	Home
Can Baro	Itàlia	91	Home
el Guinardo	Itàlia	360	Home
la Font d en Fargues	Itàlia	47	Home
el Carmel	Itàlia	183	Home
la Teixonera	Itàlia	81	Home
Sant Genis dels Agudells	Itàlia	34	Home
Montbau	Itàlia	41	Home
la Vall d Hebron	Itàlia	28	Home
la Clota	Itàlia	3	Home
Horta	Itàlia	121	Home
Vilapicina i la Torre Llobeta	Itàlia	125	Home
Porta	Itàlia	106	Home
el Turo de la Peira	Itàlia	46	Home
Can Peguera	Itàlia	3	Home
la Guineueta	Itàlia	45	Home
Canyelles	Itàlia	9	Home
les Roquetes	Itàlia	53	Home
Verdun	Itàlia	51	Home
la Prosperitat	Itàlia	77	Home
la Trinitat Nova	Itàlia	29	Home
Torre Baro	Itàlia	10	Home
Ciutat Meridiana	Itàlia	20	Home
Vallbona	Itàlia	5	Home
la Trinitat Vella	Itàlia	41	Home
Baro de Viver	Itàlia	2	Home
el Bon Pastor	Itàlia	41	Home
Sant Andreu	Itàlia	263	Home
la Sagrera	Itàlia	181	Home
el Congres i els Indians	Itàlia	101	Home
Navas	Itàlia	203	Home
el Camp del Arpa del Clot	Itàlia	480	Home
el Clot	Itàlia	298	Home
el Parcila Llacuna del Poblenou	Itàlia	319	Home
la Vila Olimpica del Poblenou	Itàlia	178	Home
el Poblenou	Itàlia	614	Home
Diagonal Mariel Front Maritim del Poblenou	Itàlia	194	Home
el Besos i el Maresme	Itàlia	140	Home
Provençals del Poblenou	Itàlia	225	Home
Sant Marti de Provençals	Itàlia	164	Home
la Verneda i la Pau	Itàlia	124	Home
el Raval	França	464	Home
el Barri Gotic	França	344	Home
la Barceloneta	França	165	Home
Sant Pere Santa Caterina i la Ribera	França	413	Home
el Fort Pienc	França	305	Home
la Sagrada Familia	França	279	Home
la Dreta del Eixample	França	570	Home
l Antiga Esquerra del Eixample	França	395	Home
la Nova Esquerra del Eixample	França	301	Home
Sant Antoni	França	257	Home
el Poble Sec- A E I Parc Montjuïc	França	343	Home
la Marina del Prat Vermell- A E I Zona Franca	França	2	Home
la Marina de Port	França	36	Home
la Font de la Guatlla	França	42	Home
Hostafrancs	França	91	Home
la Bordeta	França	57	Home
Sants- Badal	França	76	Home
Sants	França	196	Home
les Corts	França	138	Home
la Maternitat i Sant Ramon	França	86	Home
Pedralbes	França	205	Home
Vallvidrerael Tibidabo i les Planes	França	53	Home
Sarria	França	352	Home
les Tres Torres	França	93	Home
Sant Gervasi-la Bonanova	França	142	Home
Sant Gervasi- Galvany	França	320	Home
el Putxet i el Farro	França	188	Home
Vallcarca i els Penitents	França	66	Home
el Coll	França	32	Home
la Salut	França	65	Home
la Vila de Gracia	França	512	Home
el Campden Grassot i Gracia Nova	França	184	Home
el Baix Guinardo	França	86	Home
Can Baro	França	44	Home
el Guinardo	França	142	Home
la Font d en Fargues	França	20	Home
el Carmel	França	50	Home
la Teixonera	França	16	Home
Sant Genis dels Agudells	França	13	Home
Montbau	França	3	Home
la Vall d Hebron	França	9	Home
la Clota	França	0	Home
Horta	França	31	Home
Vilapicina i la Torre Llobeta	França	41	Home
Porta	França	30	Home
el Turo de la Peira	França	7	Home
Can Peguera	França	2	Home
la Guineueta	França	8	Home
Canyelles	França	0	Home
les Roquetes	França	7	Home
Verdun	França	12	Home
la Prosperitat	França	24	Home
la Trinitat Nova	França	2	Home
Torre Baro	França	2	Home
Ciutat Meridiana	França	2	Home
Vallbona	França	1	Home
la Trinitat Vella	França	4	Home
Baro de Viver	França	0	Home
el Bon Pastor	França	8	Home
Sant Andreu	França	57	Home
la Sagrera	França	39	Home
el Congres i els Indians	França	26	Home
Navas	França	60	Home
el Camp del Arpa del Clot	França	185	Home
el Clot	França	94	Home
el Parcila Llacuna del Poblenou	França	109	Home
la Vila Olimpica del Poblenou	França	97	Home
el Poblenou	França	275	Home
Diagonal Mariel Front Maritim del Poblenou	França	109	Home
el Besos i el Maresme	França	22	Home
Provençals del Poblenou	França	62	Home
Sant Marti de Provençals	França	40	Home
la Verneda i la Pau	França	22	Home
el Raval	RegneUnit	339	Home
el Barri Gotic	RegneUnit	231	Home
la Barceloneta	RegneUnit	123	Home
Sant Pere Santa Caterina i la Ribera	RegneUnit	324	Home
