Barris	TOTAL	Total_Europa	Espanya	Itàlia	França	RegneUnit	Alemanya	Romania	Rússia	Portugal	Ucraïna	PaïsosBaixos	Polònia	Bulgària	Suècia	Bèlgica	Grècia	Irlanda	Suïssa	Resta_Europa		Total_Africa	Marroc,el	Algèria	Senegal	Resta_Africa		Total_America	Colòmbia	Hondures	Perú	Veneçuela	Bolívia	Equador	Argentina	Brasil	RepúblicaDominicana	EstatsUnits,els	Mèxic	Xile	Paraguai	Cuba	ElSalvador	Uruguai	Resta_America		Total_Asia	Xina	Pakistan	Filipines	Índia	Bangladesh	Geòrgia	Armènia	Japó	Nepal	Turquia	Resta_Asia		Oceania	Apàtrides_noconsta
11.elRaval	22.204	14.605	11.715	835	416	242	218	162	133	89	82	76	90	35	111	42	39	24	36	260		749	596	40	9	104		1.661	181	96	88	103	151	95	187	148	109	105	100	92	68	29	26	18	65		5.174	180	1.133	2.211	346	950	52	20	26	46	34	176		9	6
12.elBarriGòtic	8.390	6.267	4.221	590	312	179	143	93	112	44	46	88	53	24	86	38	25	23	21	169		259	180	20	10	49		1.023	108	84	50	85	42	40	121	84	32	117	67	71	20	16	20	20	46		818	89	179	197	107	51	36	2	23	3	25	106		18	5
13.laBarceloneta	7.579	6.391	4.799	521	158	98	107	57	71	67	44	53	59	35	60	16	16	12	17	201		183	143	20	3	17		749	81	28	38	78	21	34	73	120	18	71	40	42	29	22	7	25	22		239	30	66	12	21	3	8	7	10	5	27	50		16	1
14.SantPere,SantaCaterinailaRibera	11.540	9.290	6.576	785	425	264	217	86	143	80	58	99	77	29	71	45	36	34	26	239		250	187	29	7	27		1.289	155	50	80	99	47	52	143	99	73	178	105	67	21	16	12	22	70		689	165	114	141	32	21	42	6	40	3	43	82		22	0
25.elFortPienc	17.168	14.796	13.063	551	292	100	119	78	89	68	69	41	62	39	34	22	14	17	11	127		132	69	14	5	44		1.270	136	112	109	167	77	67	128	105	30	58	80	62	22	33	15	23	46		966	674	35	36	30	11	40	8	18	13	19	82		3	1
26.laSagradaFamília	28.126	24.229	22.021	735	272	117	106	117	150	138	78	58	85	27	37	11	25	21	16	215		169	105	16	17	31		2.570	291	175	235	358	166	134	188	193	96	110	153	118	118	44	23	44	124		1.149	631	49	62	48	20	56	26	31	56	40	130		4	5
27.laDretadelEixample	23.592	20.935	18.048	804	599	211	222	68	196	106	60	100	74	26	56	49	33	39	35	209		136	62	13	10	51		1.696	206	80	118	162	99	51	169	160	28	216	131	73	64	22	18	27	72		805	369	15	49	22	10	11	12	54	9	71	183		9	11
28.lAntigaEsquerradelEixample	22.952	19.952	17.682	680	349	147	179	89	149	107	66	76	65	26	50	21	32	18	18	198		100	62	9	0	29		1.962	262	105	165	210	92	74	181	178	44	175	154	89	50	34	28	26	95		916	379	24	206	32	10	24	6	52	12	36	135		17	5
29.laNovaEsquerradelEixample	31.410	27.456	25.248	674	302	133	131	154	182	106	75	44	70	28	37	23	28	19	20	182		146	86	21	3	36		2.526	275	122	299	274	159	148	205	256	63	100	178	110	108	58	39	30	102		1.275	687	41	201	36	29	37	25	47	7	23	142		2	5
210.SantAntoni	20.235	17.441	15.712	521	262	148	143	72	109	85	40	43	50	24	39	21	18	18	11	125		111	76	11	6	18		1.340	145	77	110	147	107	71	102	111	76	86	71	54	59	25	26	10	63		1.329	436	151	411	70	66	28	8	26	25	16	92		6	8
311.elPobleSec-AEIParcMontjuïc	20.550	16.417	14.120	788	363	161	162	91	95	78	42	47	81	36	59	27	40	21	24	182		377	302	33	10	32		1.750	213	134	120	147	117	98	127	105	222	89	91	81	73	24	43	17	49		1.981	263	510	633	289	94	29	11	19	59	14	60		16	9
312.laMarinadelPratVermell-AEIZonaFranca	576	520	514	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0		4	4	0	0	0		34	5	1	7	5	2	2	0	2	1	0	1	0	6	1	0	1	0		18	11	0	0	0	0	3	0	0	0	0	4		0	0
313.laMarinadePort	16.199	14.076	13.491	112	42	15	16	90	76	29	47	9	28	54	7	2	5	3	3	47		237	180	21	3	33		1.009	149	176	167	65	56	106	33	59	60	15	19	17	27	19	15	8	18		877	396	97	235	52	17	27	14	5	6	1	27		0	0
314.laFontdelaGuatlla	5.463	4.818	4.363	144	50	20	15	43	53	21	19	4	22	10	4	3	5	3	3	36		43	30	4	5	4		372	53	19	37	33	34	23	29	43	10	6	7	16	18	10	7	8	19		230	102	28	19	24	1	14	7	1	6	2	26		0	0
315.Hostafrancs	8.381	7.096	6.402	201	94	31	36	64	69	26	24	19	33	20	7	9	4	4	2	51		154	113	10	5	26		695	88	44	76	64	82	57	33	55	42	23	29	20	28	13	7	10	24		431	149	68	60	47	5	20	7	4	21	5	45		3	2
316.laBordeta	10.210	9.128	8.754	120	52	17	22	41	22	14	19	3	17	5	4	2	4	4	1	27		118	93	9	4	12		630	76	48	71	58	74	47	29	37	50	10	23	22	43	17	5	7	13		331	148	46	37	40	3	20	3	5	4	2	23		2	1
317.Sants-Badal	13.022	11.194	10.602	141	59	15	24	100	59	32	42	12	25	13	5	3	4	8	3	47		125	83	9	0	33		1.223	139	132	133	95	166	93	47	61	111	12	29	36	74	22	26	13	34		479	212	58	62	39	8	39	6	10	7	4	34		0	1
318.Sants	22.196	19.400	18.040	359	202	70	80	144	89	72	64	33	46	26	23	16	19	11	5	101		201	153	14	1	33		1.839	213	225	199	177	215	125	112	90	96	32	78	43	117	25	37	11	44		750	275	149	50	87	23	58	2	25	26	12	43		6	0
419.lesCorts	24.997	22.930	21.805	271	156	45	70	79	110	67	66	24	45	19	21	25	9	8	8	102		90	47	13	4	26		1.290	148	98	122	163	84	69	74	116	55	69	75	44	87	24	8	14	40		680	303	26	33	47	3	25	4	75	3	10	151		1	6
420.laMaternitatiSantRamon	12.851	11.742	11.227	126	77	18	30	29	65	27	38	5	26	10	4	7	4	2	3	44		64	44	5	1	14		764	95	48	85	84	55	61	49	41	33	18	52	28	53	16	20	4	22		279	117	18	16	19	0	15	3	18	6	5	62		1	1
421.Pedralbes	6.376	5.816	5.216	86	186	34	38	21	106	12	25	4	6	16	3	12	2	2	8	39		54	22	12	0	20		307	34	25	26	27	23	12	16	33	9	30	25	11	11	0	8	2	15		198	51	8	33	4	0	4	3	26	0	14	55		1	0
522.Vallvidrera,elTibidaboilesPlanes	2.369	2.248	1.977	55	56	32	26	10	21	4	2	13	4	3	5	6	3	1	5	25		6	5	0	0	1		81	6	3	3	7	6	6	11	6	1	12	2	7	3	1	0	1	6		34	4	0	4	0	0	4	4	2	0	0	16		0	0
523.Sarrià	13.405	12.618	11.573	233	346	63	71	15	81	19	35	21	22	14	15	16	13	7	7	67		67	33	13	2	19		465	46	48	36	37	34	20	21	35	12	79	27	8	23	7	9	2	21		245	67	8	27	12	0	9	0	68	0	8	46		4	6
524.lesTresTorres	8.884	8.395	7.945	96	91	29	46	4	39	22	11	14	10	7	5	12	2	4	22	36		24	8	4	1	11		316	14	34	18	23	30	16	15	18	4	67	20	8	25	5	8	4	7		146	27	1	32	6	0	4	0	35	0	5	36		3	0
525.SantGervasi-laBonanova	14.143	13.173	12.346	183	138	41	80	49	100	24	26	26	19	9	9	10	5	12	18	78		65	33	8	0	24		669	63	72	62	65	57	28	42	43	8	50	44	18	42	13	7	9	46		232	79	11	41	6	3	5	3	16	1	7	60		4	0
526.SantGervasi-Galvany	26.318	24.329	22.705	424	309	90	143	54	141	60	45	57	33	21	33	34	16	14	29	121		106	44	7	3	52		1.383	142	104	92	134	97	26	75	101	33	221	101	57	77	24	34	9	56		484	128	19	103	22	1	20	1	40	1	22	127		10	6
