Barris	TOTAL	Total_Europa	Espanya	Itàlia	França	RegneUnit	Alemanya	Romania	Rússia	Portugal	Ucraïna	PaïsosBaixos	Polònia	Bulgària	Suècia	Bèlgica	Grècia	Irlanda	Suïssa	Resta_Europa		Total_Africa	Marroc,el	Algèria	Senegal	Resta_Africa		Total_America	Colòmbia	Hondures	Perú	Veneçuela	Bolívia	Equador	Argentina	Brasil	RepúblicaDominicana	EstatsUnits,els	Mèxic	Xile	Paraguai	Cuba	ElSalvador	Uruguai	Resta_America		Total_Asia	Xina	Pakistan	Filipines	Índia	Bangladesh	Geòrgia	Armènia	Japó	Nepal	Turquia	Resta_Asia		Oceania	Apàtrides_noconsta
11.elRaval	26.093	14.662	11.515	1.139	464	339	204	123	76	134	59	98	48	45	88	58	32	28	33	179		1.183	793	152	53	185		1.689	184	48	92	148	113	124	186	148	115	107	110	115	38	40	24	34	63		8.546	163	3.227	1.810	779	2.100	50	22	16	96	37	246		11	2
12.elBarriGòtic	10.790	6.315	4.166	675	344	231	185	98	51	78	42	90	40	19	47	37	26	44	26	116		543	324	52	44	123		909	107	37	46	76	33	30	119	98	16	99	51	68	17	26	21	18	47		3.003	72	1.370	137	431	761	40	5	22	21	26	118		16	4
13.laBarceloneta	7.594	6.009	4.447	625	165	123	112	28	33	81	49	59	36	29	39	21	11	23	16	112		303	211	49	16	27		682	82	14	43	69	24	28	93	98	9	55	39	37	7	29	5	24	26		587	25	352	8	64	23	4	3	6	19	31	52		13	0
14.SantPere,SantaCaterinailaRibera	11.630	8.859	6.167	936	413	324	203	59	67	90	25	115	45	16	65	54	39	60	22	159		802	577	88	36	101		1.043	92	13	46	72	41	46	154	84	71	167	72	75	13	13	9	30	45		892	160	271	125	87	45	32	5	17	6	38	106		30	4
25.elFortPienc	15.481	13.096	11.426	619	305	143	105	61	27	78	46	48	27	19	20	23	18	18	8	105		218	129	16	21	52		976	117	28	92	112	47	53	125	102	30	57	57	59	12	24	6	19	36		1.181	657	190	21	64	55	40	11	13	31	21	78		5	5
26.laSagradaFamília	23.785	20.421	18.422	786	279	145	108	74	69	136	49	57	38	12	26	24	30	32	15	119		278	168	23	18	69		1.855	218	51	197	261	134	134	144	135	65	98	128	91	60	35	14	34	56		1.221	548	121	43	111	29	33	36	32	82	45	141		6	4
27.laDretadelEixample	20.623	18.342	15.499	887	570	289	252	35	106	104	41	126	38	14	47	68	27	51	32	156		244	76	21	47	100		1.241	149	19	55	117	37	38	136	123	22	220	98	77	15	33	10	29	63		768	290	45	30	65	23	12	12	43	16	54	178		25	3
28.lAntigaEsquerradelEixample	20.160	17.348	15.051	773	395	223	200	66	54	108	30	81	38	21	30	41	18	35	26	158		128	64	10	9	45		1.766	240	35	148	247	53	67	175	265	24	137	115	80	23	42	14	20	81		898	336	101	125	53	35	9	4	41	14	30	150		16	4
29.laNovaEsquerradelEixample	27.232	23.860	21.608	901	301	177	165	90	75	139	33	55	40	19	30	32	30	22	16	127		236	126	20	19	71		1.831	228	34	196	236	77	131	195	200	53	82	95	94	33	55	24	22	76		1.287	601	123	167	54	45	29	23	45	7	27	166		11	7
210.SantAntoni	18.331	15.595	13.769	681	257	201	134	39	51	91	28	52	32	18	36	38	23	37	12	96		213	118	18	21	56		1.081	136	26	82	127	66	54	107	104	48	76	72	57	21	33	15	13	44		1.429	389	321	288	88	144	18	9	27	45	16	84		9	4
311.elPobleSec-AEIParcMontjuïc	19.859	15.023	12.817	846	343	235	130	67	54	75	34	54	44	28	41	36	32	44	11	132		615	421	84	29	81		1.460	171	43	97	117	92	93	142	105	242	80	56	83	22	34	32	18	33		2.751	223	1.110	446	561	172	26	10	11	103	20	69		8	2
312.laMarinadelPratVermell-AEIZonaFranca	623	566	554	4	2	0	0	0	2	0	1	0	1	0	0	1	0	0	0	1		13	11	1	0	1		26	1	2	8	2	1	0	1	2	1	1	0	1	5	0	0	1	0		18	14	0	0	0	0	1	0	0	0	0	3		0	0
313.laMarinadePort	14.888	12.867	12.380	140	36	18	9	86	33	31	37	6	17	33	2	3	0	3	0	33		262	176	34	13	39		818	143	89	142	56	43	123	41	36	47	5	10	19	6	22	12	15	9		940	350	221	180	82	25	30	8	3	8	3	30		1	0
314.laFontdelaGuatlla	4.910	4.215	3.804	153	42	24	29	33	18	22	18	9	6	10	3	6	8	5	1	24		69	36	1	14	18		334	58	5	33	39	17	23	26	37	15	7	15	19	8	6	6	7	13		291	78	82	9	49	6	14	12	3	10	4	24		0	1
315.Hostafrancs	7.774	6.422	5.733	247	91	53	30	42	40	31	23	15	14	18	18	11	6	9	4	37		172	116	24	13	19		577	82	22	72	45	49	62	45	51	27	19	21	23	16	14	5	10	14		601	143	228	33	84	6	19	6	6	29	4	43		2	0
316.laBordeta	9.233	8.154	7.753	136	57	29	20	35	18	14	7	12	9	8	5	9	8	4	3	27		203	158	12	14	19		475	63	22	43	45	54	48	32	34	40	8	11	16	19	15	6	12	7		400	134	76	26	103	4	10	3	3	6	6	29		0	1
317.Sants-Badal	11.452	9.774	9.204	166	76	32	28	82	21	35	34	12	15	4	3	16	6	1	1	38		192	115	23	6	48		889	107	50	107	72	125	99	41	49	73	17	17	26	43	11	25	7	20		592	182	158	36	91	12	38	12	4	13	9	37		4	1
318.Sants	20.114	16.929	15.629	440	196	80	57	142	30	72	45	33	34	30	11	22	16	11	15	66		500	312	47	27	114		1.398	180	81	147	128	175	149	88	64	81	26	57	51	37	39	37	26	32		1.277	258	439	43	251	67	65	5	16	48	11	74		8	2
419.lesCorts	21.602	19.875	18.802	341	138	67	77	79	52	71	26	25	27	21	13	18	11	12	11	84		118	47	18	13	40		921	95	29	88	115	38	52	70	110	28	100	48	40	24	20	14	15	35		679	272	69	14	73	16	3	4	63	5	22	138		6	3
420.laMaternitatiSantRamon	11.141	10.217	9.707	177	86	35	27	21	23	24	30	13	13	9	4	1	8	8	3	28		77	50	4	3	20		553	67	14	46	72	29	63	39	39	25	17	46	25	27	10	6	10	18		294	99	33	6	43	2	11	3	27	11	4	55		0	0
